date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-01-03,sh.000025,1873.3710,1890.9060,1872.3030,1886.2400,1127983808,9631728896.0000,0.004174,1,0.556100,,,,,
2017-01-04,sh.000025,1886.0620,1907.4270,1884.8720,1904.6770,1375320608,11776260352.0000,0.005090,1,0.977400,,,,,
2017-01-05,sh.000025,1900.3050,1912.7900,1888.0900,1912.2230,1485071296,12462027776.0000,0.005496,1,0.396200,,,,,
2017-01-06,sh.000025,1910.0650,1925.6630,1906.2310,1907.2420,1457686208,12484942848.0000,0.005395,1,-0.260500,,,,,
2017-01-09,sh.000025,1904.7420,1924.5500,1902.0240,1924.3110,1447334704,12861006848.0000,0.005356,1,0.895000,,,,,
2017-01-10,sh.000025,1921.6270,1923.8210,1899.2200,1900.7590,1153744704,10124233984.0000,0.004270,1,-1.223900,,,,,
2017-01-11,sh.000025,1897.3160,1903.9810,1871.9940,1879.4450,2001953808,15470001920.0000,0.007409,1,-1.121300,,,,,
2017-01-12,sh.000025,1872.1350,1889.9160,1866.5930,1867.5140,1682183904,12289122048.0000,0.006225,1,-0.634800,,,,,
2017-01-13,sh.000025,1863.2340,1876.6930,1852.6470,1868.1780,1483659808,11620624128.0000,0.005491,1,0.035600,,,,,
2017-01-16,sh.000025,1860.2660,1889.7800,1818.1160,1883.0810,2689151008,20329606144.0000,0.009952,1,0.797700,,,,,
2017-01-17,sh.000025,1869.2390,1876.8680,1857.4930,1873.1150,940562304,7068214784.0000,0.003481,1,-0.529200,,,,,
2017-01-18,sh.000025,1873.0640,1898.9590,1871.9250,1887.3620,1284650496,10190372608.0000,0.004754,1,0.760600,,,,,
2017-01-19,sh.000025,1879.6060,1894.3530,1866.0460,1870.9410,1080456400,8599453696.0000,0.003999,1,-0.870100,,,,,
2017-01-20,sh.000025,1867.3260,1884.2930,1866.5200,1881.7170,823573008,6383607296.0000,0.003048,1,0.576000,,,,,
2017-01-23,sh.000025,1883.6460,1894.5580,1881.1190,1890.4310,942552608,7295240704.0000,0.003488,1,0.463100,,,,,
2017-01-24,sh.000025,1889.5440,1900.1450,1883.9840,1890.2900,863833408,6633537280.0000,0.003197,1,-0.007500,,,,,
2017-01-25,sh.000025,1888.8950,1906.6220,1885.2960,1905.9360,1161265296,9212129024.0000,0.004298,1,0.827700,,,,,
2017-01-26,sh.000025,1905.6270,1912.5040,1889.3520,1897.6730,1052118496,7797055744.0000,0.003894,1,-0.433500,,,,,
2017-02-03,sh.000025,1896.0440,1898.9420,1888.4440,1890.6550,615778208,4993292032.0000,0.002279,1,-0.369800,,,,,
2017-02-06,sh.000025,1891.2460,1911.9410,1890.0530,1904.7810,1246680096,9406469888.0000,0.004614,1,0.747100,,,,,
2017-02-07,sh.000025,1903.4890,1905.4750,1888.3710,1897.2360,918944304,7394926080.0000,0.003401,1,-0.396100,,,,,
2017-02-08,sh.000025,1895.5480,1911.3850,1885.8760,1910.7510,1190847504,9207146752.0000,0.004407,1,0.712400,,,,,
2017-02-09,sh.000025,1908.1180,1935.3920,1906.2990,1930.3300,1958976400,17240459008.0000,0.007250,1,1.024700,,,,,
2017-02-10,sh.000025,1931.3680,1985.8870,1931.3680,1961.7190,2917669200,26162143744.0000,0.010798,1,1.626100,,,,,
2017-02-13,sh.000025,1962.0480,1979.7970,1956.2320,1968.7000,1927205696,17399532800.0000,0.007132,1,0.355900,,,,,
2017-02-14,sh.000025,1968.8600,1984.0010,1960.0010,1983.2180,1603014208,14743561216.0000,0.005938,1,0.737400,,,,,
2017-02-15,sh.000025,1981.3230,1990.0430,1965.6060,1969.9510,2270041296,18000568576.0000,0.008409,1,-0.669000,,,,,
2017-02-16,sh.000025,1968.0650,1986.5640,1965.8670,1984.7300,1887227600,15197946112.0000,0.006991,1,0.750200,,,,,
2017-02-17,sh.000025,1979.8010,1979.8010,1947.3310,1949.5270,1700814704,13908457984.0000,0.006300,1,-1.773700,,,,,
2017-02-20,sh.000025,1948.8150,1976.6120,1948.8150,1976.1230,1581121408,14047306240.0000,0.005857,1,1.364200,,,,,
2017-02-21,sh.000025,1978.1310,1979.9870,1968.5040,1974.2240,1334004400,11304619520.0000,0.004942,1,-0.096100,,,,,
2017-02-22,sh.000025,1973.5960,1975.5060,1959.1340,1974.7780,1255477200,11525289984.0000,0.004651,1,0.028100,,,,,
2017-02-23,sh.000025,1973.7270,1975.4390,1951.1630,1958.8300,1226181008,10943205632.0000,0.004542,1,-0.807600,,,,,
2017-02-24,sh.000025,1954.6240,1977.5900,1949.3520,1976.1440,1510618704,12446618368.0000,0.005596,1,0.883900,,,,,
2017-02-27,sh.000025,1969.6010,1979.2940,1950.6450,1953.3320,1296558000,11237442304.0000,0.004803,1,-1.154400,,,,,
2017-02-28,sh.000025,1952.5680,1964.1760,1945.6970,1963.8440,988765808,9121470976.0000,0.003663,1,0.538200,,,,,
2017-03-01,sh.000025,1962.5160,1981.2630,1958.2790,1966.2280,1388784000,13030143232.0000,0.005145,1,0.121400,,,,,
2017-03-02,sh.000025,1970.4690,1972.9560,1940.6950,1941.3040,1232206304,10871194368.0000,0.004564,1,-1.267600,,,,,
2017-03-03,sh.000025,1936.0100,1938.4280,1921.6800,1937.7070,1123312800,9845082368.0000,0.004161,1,-0.185300,,,,,
2017-03-06,sh.000025,1936.9790,1939.8220,1928.6050,1938.7220,1040655200,8461748992.0000,0.003855,1,0.052400,,,,,
2017-03-07,sh.000025,1940.2040,1941.6340,1929.6620,1931.4150,1055324496,8698114304.0000,0.003909,1,-0.376900,,,,,
2017-03-08,sh.000025,1932.2550,1962.6420,1931.1180,1953.4750,1642283296,13823169024.0000,0.006084,1,1.142200,,,,,
2017-03-09,sh.000025,1948.4250,1949.6720,1929.2210,1944.0430,1341792896,11232602368.0000,0.004970,1,-0.482800,,,,,
2017-03-10,sh.000025,1937.7340,1939.1940,1923.3090,1927.0900,864276704,7590128384.0000,0.003202,1,-0.872100,,,,,
2017-03-13,sh.000025,1923.3740,1935.9240,1911.9650,1933.4940,1188982608,10281739776.0000,0.004404,1,0.332300,,,,,
2017-03-14,sh.000025,1931.8780,1940.2330,1929.1440,1936.6270,841712496,7243315712.0000,0.003118,1,0.162000,,,,,
2017-03-15,sh.000025,1938.1330,1954.1080,1934.2790,1949.7290,1244691808,10840096256.0000,0.004611,1,0.676500,,,,,
2017-03-16,sh.000025,1951.9000,1965.5840,1951.9000,1960.2920,1241778000,10929350144.0000,0.004600,1,0.541800,,,,,
2017-03-17,sh.000025,1962.8160,1974.8110,1949.7720,1954.9640,1494831408,12955945728.0000,0.005537,1,-0.271800,,,,,
